Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
03/01/2023,29127,9,Marion County,MO,91.3,13877,48.6,13857,51.9,13624,56.3,13024,59.4,4664,89.2,12392,43.4,12381,46.3,731,15.3,12195,50.4,11650,53.1,4371,83.6,5673,45.8,5673,45.8,5653,46.4,5568,47.8,4471,59.1,2999,68.6,1836,41.1,1421,47.4,B,5,5,5,6,6,8,Non-metro,5,5,5,6,6,8,7,7,7,7,7,7,7,7,28530,26717,4778,24187,21939,5228,1571,5.9,1566,6.5,1547,7.1,1007,19.3
03/01/2023,01031,9,Coffee County,AL,92.6,32361,61.8,32295,65.7,31689,71.6,29919,74.9,8933,95,25593,48.9,25578,52,1849,20.1,25143,56.8,23729,59.4,7395,81.9,8375,32.7,8375,32.7,8350,33.2,8153,34.4,6492,46.6,4322,58.4,2220,34.2,1743,40.3,C,9,10,9,10,10,12,Non-metro,5,6,5,6,6,8,10,10,10,10,6,6,6,6,52342,49147,9199,44289,39948,9031,2298,4.7,2288,5.2,2242,5.6,1359,15
03/01/2023,48413,9,Schleicher County,TX,98.9,1287,46.1,1287,48,1258,52.4,1159,54.5,417,74.6,1179,42.2,1179,44,104,18.8,1161,48.4,1075,50.6,396,70.8,477,40.5,477,40.5,477,41.1,474,44.1,376,54.8,249,62.9,129,34.3,95,38.2,C,9,9,9,9,10,11,Non-metro,5,5,5,5,6,7,11,11,11,10,7,7,7,6,2793,2680,554,2399,2126,559,86,3.2,86,3.6,86,4,50,8.9
03/01/2023,26157,9,Tuscola County,MI,94.1,25035,47.9,,,,,,,,,24437,46.8,24425,49.3,1301,16.6,24158,53,23124,55.5,8874,81.6,13714,56.1,13714,56.1,13651,56.5,13361,57.8,10691,66.9,6719,75.7,3685,34.5,2656,39.5,B,5,5,5,6,6,8,Non-metro,5,5,5,6,6,8,8,8,8,7,8,8,8,7,52245,49509,7858,45618,41651,10880,3766,7.6,3723,8.2,3654,8.8,2324,21.4
03/01/2023,51063,9,Floyd County,VA,78.2,6819,43.3,6811,45.4,6762,49,6468,50.9,2488,67.3,6056,38.5,6051,40.3,276,12,6009,43.5,5775,45.5,2291,62,1176,19.4,1175,19.4,1167,19.4,1149,19.9,921,23.5,644,28.1,533,57.9,396,61.5,A,1,1,1,1,1,2,Metro,1,1,1,1,1,2,1,1,1,1,1,1,1,1,15749,14999,2297,13808,12702,3698,622,4.1,618,4.5,614,4.8,391,10.6
03/01/2023,17071,9,Henderson County,IL,97.9,3992,60.1,3984,63.1,3938,67.5,3827,70.4,1685,95,3496,52.6,3493,55.4,135,15.4,3449,59.1,3358,61.8,1471,87.2,1797,51.4,1797,51.4,1792,52,1779,53,1540,60.7,1027,69.8,760,49.4,587,57.2,A,2,2,1,2,2,4,Non-metro,6,6,5,6,6,8,4,4,4,3,8,8,8,7,6646,6310,877,5836,5433,1687,908,14.4,908,15.6,904,16.6,643,38.1
03/01/2023,45059,9,Laurens County,SC,93,30412,45.1,30354,47.8,29821,51.7,28456,54,10155,80,27002,40,26981,42.5,1572,14.6,26566,46,25409,48.2,9314,73.4,12696,47,12696,47.1,12649,47.6,12450,49,10224,60.2,6603,70.9,4635,45.3,3382,51.2,D,13,13,13,13,13,15,Metro,1,1,1,1,1,3,15,15,15,15,3,3,3,3,67493,63499,10784,57713,52715,12694,5092,8,5070,8.8,5026,9.5,3187,25.1
03/01/2023,06091,9,Sierra County,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,Non-metro,,,,,,,,,,,,,,,3005,2867,358,2684,2509,963,,,,,,,,
03/01/2023,13175,9,Laurens County,GA,88.8,26697,56.1,26668,60.1,26169,65.6,24784,69,7275,84.7,22884,48.1,22870,51.5,1508,17.8,22511,56.5,21362,59.5,6599,76.8,8435,36.9,8435,36.9,8405,37.3,8266,38.7,6236,49.4,3926,59.5,2134,34.2,1524,38.8,D,13,14,13,14,14,15,Non-metro,5,6,5,6,6,7,14,14,14,14,6,6,6,6,47546,44395,8481,39873,35914,8594,2486,5.6,2485,6.2,2464,6.9,1392,16.2
03/01/2023,51037,9,Charlotte County,VA,78.2,5259,44.3,5255,46.8,5212,50.8,5018,53.4,1968,73.2,4612,38.8,4608,41.1,192,10.5,4576,44.6,4416,47,1763,65.6,783,17,783,17,780,17,764,17.3,628,20.2,393,22.3,327,52.1,232,59,D,13,13,13,13,13,15,Non-metro,5,5,5,5,5,7,13,13,13,13,5,5,5,5,11880,11217,1821,10266,9396,2687,374,3.3,374,3.6,370,3.9,232,8.6
03/01/2023,19153,9,Polk County,IA,97.3,379578,77.4,375019,82.3,355016,86.8,325707,88.2,70322,95,345844,70.6,343094,75.3,44764,51.7,324978,79.5,298330,80.8,66297,95,202131,58.4,202075,58.9,196435,60.4,185981,62.3,108407,76.6,56068,84.6,69967,64.5,41713,74.4,B,7,7,8,7,8,8,Metro,3,3,4,3,4,4,8,8,8,8,4,4,4,4,490161,455779,86617,408791,369162,66091,105962,23.2,103150,25.2,98824,26.8,40815,61.8
03/01/2023,37065,9,Edgecombe County,NC,96.8,33763,65.6,33668,69.4,32930,74.9,31289,78.4,10710,95,26609,51.7,26590,54.8,1834,21.3,26051,59.3,24756,62,8670,82.5,9346,35.1,9346,35.1,9300,35.7,9128,36.9,7427,45.9,4660,53.7,2818,37.9,2066,44.3,D,14,14,13,14,14,16,Metro,2,2,1,2,2,4,14,14,14,14,2,2,2,2,51472,48532,8628,43948,39904,10509,4077,8.4,4058,9.2,4002,10,2474,23.5
03/01/2023,38029,9,Emmons County,ND,92.7,1383,42.7,1382,44.9,1373,48.2,1332,51.1,699,76.7,1149,35.5,1148,37.3,41,8.8,1141,40.1,1107,42.4,571,62.7,536,46.6,536,46.7,533,46.7,526,47.5,480,55,372,65.1,199,41.5,168,45.2,A,1,1,1,1,1,2,Non-metro,5,5,5,5,5,6,3,3,3,3,7,7,7,7,3241,3076,468,2848,2608,911,259,8.4,256,9,250,9.6,190,20.9
03/01/2023,47125,9,Montgomery County,TN,97.8,154482,73.9,153591,80.1,148521,87.5,138614,90.6,21360,95,129862,62.1,129589,67.6,12399,32,125638,74,117190,76.6,19093,95,49155,37.9,49153,37.9,48456,38.6,46510,39.7,26715,61.4,13789,72.2,12992,48.6,7976,57.8,C,10,11,10,11,11,12,Metro,2,3,2,3,3,4,10,10,10,11,2,2,2,3,208993,191828,38774,169682,153054,19760,15264,8,14951,8.8,14377,9.4,6208,31.4
03/01/2023,18099,9,Marshall County,IN,98.5,23890,51.6,23845,55.2,23237,59.7,21440,61.8,7185,85,21632,46.8,21626,50,1957,22.9,21159,54.4,19669,56.7,6739,79.7,10961,50.7,10961,50.7,10904,51.5,10599,53.9,8038,64.9,5114,75.9,3837,47.7,2897,56.6,C,9,10,9,10,10,11,Non-metro,5,6,5,6,6,7,12,12,12,11,8,8,8,7,46258,43234,8529,38912,34705,8455,3883,9,3870,9.9,3820,11,2505,29.6
03/01/2023,13007,9,Baker County,GA,88.8,1953,64.3,1952,68.2,1912,72.2,1832,74.9,553,76.9,1609,53,1609,56.2,105,25.2,1575,59.5,1504,61.5,464,64.5,651,40.5,651,40.5,647,41.1,636,42.3,506,53,303,65.3,203,40.1,146,48.2,C,10,10,9,10,10,10,Metro,2,2,1,2,2,2,11,11,11,11,3,3,3,3,3038,2863,416,2649,2447,719,192,6.7,192,7.2,192,7.8,106,14.7
03/01/2023,26135,9,Oscoda County,MI,94.1,3755,45.6,,,,,,,,,3508,42.6,3508,44.9,91,7.9,3492,48.6,3417,51.4,1735,76.3,2039,58.1,2039,58.1,2039,58.4,2015,59,1807,64.4,1233,71.1,550,30.4,424,34.4,C,9,9,9,9,10,11,Non-metro,5,5,5,5,6,7,12,12,12,11,8,8,8,7,8241,7805,1159,7189,6646,2275,545,7,545,7.6,537,8.1,363,16
03/01/2023,48025,9,Bee County,TX,98.9,20186,62,20149,65.6,19797,70.5,18617,72.3,3840,93.9,16934,52,16931,55.1,1194,23.9,16674,59.4,15737,61.1,3465,84.7,6789,40.1,6789,40.1,6760,40.5,6652,42.3,4417,57.3,2223,64.2,1906,43.2,1161,52.2,D,14,14,13,14,14,16,Non-metro,6,6,5,6,6,8,15,15,15,14,7,7,7,6,32565,30736,4994,28079,25742,4091,2097,6.8,2086,7.4,2045,7.9,1043,25.5
03/01/2023,48249,9,Jim Wells County,TX,98.9,26612,65.7,26495,70.4,25439,76.7,23105,78.6,5936,93.4,22362,55.2,22338,59.4,2399,29.2,21675,65.4,19939,67.8,5327,83.8,9599,42.9,9599,43,9512,43.9,9272,46.5,6786,61.1,3638,68.3,3474,51.2,2163,59.5,D,14,14,13,15,15,16,Non-metro,6,6,5,7,7,8,15,15,15,15,7,7,7,7,40482,37622,8208,33162,29414,6358,3808,10.1,3771,11.4,3694,12.6,1997,31.4
03/01/2023,45063,9,Lexington County,SC,93,201033,67.3,199576,70.8,191964,75.4,177694,77.3,48964,95,173425,58.1,172832,61.4,18613,35.9,166603,65.5,154219,67.1,43335,89.4,79944,46.1,79929,46.2,78683,47.2,75440,48.9,52555,61.2,31147,71.9,25082,47.7,16987,54.5,B,6,6,6,7,7,8,Metro,2,2,2,3,3,4,7,7,7,7,3,3,3,3,298750,281706,51798,254457,229908,48450,33140,11.8,32445,12.8,31420,13.7,16962,35
03/01/2023,19007,9,Appanoose County,IA,97.3,6543,52.7,6538,55.8,6421,60.5,6159,64,2500,87.9,6073,48.9,6069,51.8,332,15.8,5965,56.2,5737,59.6,2368,83.3,3526,58.1,3526,58.1,3505,58.8,3444,60,2826,70.4,1891,79.9,1645,58.2,1242,65.7,B,5,6,5,6,6,8,Non-metro,5,6,5,6,6,8,8,8,8,7,8,8,8,7,12426,11724,2103,10609,9621,2843,1777,15.2,1764,16.6,1748,18.2,1180,41.5
03/01/2023,24039,9,Somerset County,MD,98.2,15099,58.9,15072,61.6,14762,65.1,14187,66.7,4073,91.8,13336,52.1,13319,54.5,781,24.7,13032,57.5,12538,58.9,3771,85,7178,53.8,7178,53.9,7131,54.7,7013,55.9,4820,66.3,2782,73.8,2328,48.3,1597,57.4,D,14,14,13,14,14,16,Metro,2,2,1,2,2,4,16,16,16,15,4,4,4,3,25616,24449,3165,22680,21284,4436,2490,10.2,2467,10.9,2415,11.3,1386,31.2
03/01/2023,48495,9,Winkler County,TX,98.9,3723,46.5,3720,50.2,3614,55.8,3375,59.4,715,74.2,3151,39.3,3150,42.5,249,14.4,3081,47.6,2901,51.1,656,68,1088,34.5,1088,34.5,1086,35.2,1066,36.7,780,51.4,429,65.4,145,18.6,98,22.8,C,9,9,9,9,10,11,Non-metro,5,5,5,5,6,7,10,10,10,11,6,6,6,7,8010,7414,1733,6472,5681,964,203,2.7,199,3.1,196,3.5,82,8.5
03/01/2023,51091,9,Highland County,VA,78.2,1537,70.2,1534,73.3,1499,75.5,1451,76.4,695,89.3,1357,62,1354,64.7,72,36.9,1321,66.5,1282,67.5,615,79,853,62.9,851,62.9,845,64,833,65,696,71.6,492,80,399,57.3,303,61.6,A,2,2,2,3,3,3,Non-metro,6,6,6,7,7,7,4,4,4,4,8,8,8,8,2190,2093,195,1986,1898,778,465,22.2,461,23.2,453,23.9,308,39.6
03/01/2023,16043,9,Fremont County,ID,97.7,7049,53.8,7044,57.4,6894,62,6494,65.8,2022,88.5,6172,47.1,6168,50.3,456,19,6057,54.5,5712,57.9,1832,80.1,2507,40.6,2507,40.6,2488,41.1,2420,42.4,1861,56.6,1186,64.7,817,43.9,590,49.7,C,9,10,9,10,10,12,Non-metro,5,6,5,6,6,8,11,11,11,10,7,7,7,6,13099,12268,2399,11119,9869,2286,1055,8.6,1041,9.4,991,10,602,26.3
03/01/2023,18169,9,Wabash County,IN,98.5,14688,47.4,14668,49.9,14443,53.5,13853,56.3,5778,87.7,13365,43.1,13355,45.5,661,13.9,13190,48.9,12694,51.6,5423,82.3,6599,49.4,6599,49.4,6569,49.8,6469,51,5293,60.2,3744,69,2346,44.3,1894,50.6,B,5,5,5,5,6,8,Non-metro,5,5,5,5,6,8,7,7,8,7,7,7,8,7,30996,29366,4763,26975,24603,6587,2502,8.5,2488,9.2,2469,10,1776,27
03/01/2023,19173,9,Taylor County,IA,97.3,3147,51.4,3143,54.9,3077,59.7,2964,63.2,1249,89.7,2949,48.2,2947,51.5,157,15.2,2885,56,2790,59.5,1211,87,1800,61,1800,61.1,1792,62.1,1770,63.4,1445,74.3,973,80.3,861,59.6,667,68.6,A,1,2,1,2,2,4,Non-metro,5,6,5,6,6,8,4,4,4,4,8,8,8,8,6121,5721,1034,5152,4687,1392,821,14.4,821,15.9,814,17.4,577,41.5
03/01/2023,UNK,9,Unknown County,MP,,46705,,46290,,41619,,36166,,3297,,43951,,43862,,9408,,39647,,34454,,3157,,23685,53.9,23678,54,23247,58.6,21210,61.6,10243,74.7,2570,81.4,2628,25.7,947,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4139,,3947,,3601,,740,
03/01/2023,49039,9,Sanpete County,UT,97.7,15132,48.9,15094,51.9,14492,55.3,12961,56,3823,85.2,13252,42.8,13230,45.5,1715,29,12789,48.8,11515,49.7,3459,77.1,5741,43.3,5741,43.4,5700,44.6,5470,47.5,3727,61.9,2394,69.2,1621,43.5,1174,49,B,5,5,5,5,5,7,Non-metro,5,5,5,5,5,7,7,7,7,7,7,7,7,7,30939,29056,5908,26200,23148,4488,2016,6.9,1991,7.6,1904,8.2,1048,23.4
03/01/2023,18047,9,Franklin County,IN,98.5,10314,45.3,10289,48.2,10134,52.1,9716,55.5,3482,80.6,9146,40.2,9130,42.7,493,12.8,9001,46.2,8637,49.3,3149,72.9,4129,45.1,4129,45.2,4111,45.7,4058,47,3297,57.2,2097,66.6,1315,39.9,987,47.1,A,1,1,1,1,1,3,Non-metro,5,5,5,5,5,7,3,3,3,3,7,7,7,7,22758,21357,3843,19468,17514,4318,1388,6.5,1381,7.1,1371,7.8,942,21.8
03/01/2023,29153,9,Ozark County,MO,91.3,3757,41,3755,42.9,3718,46,3630,48.9,1706,63.6,3051,33.3,3049,34.8,85,6.3,3027,37.4,2964,40,1400,52.2,1437,47.1,1437,47.1,1434,47.4,1423,48,1232,55.9,871,62.2,533,43.3,418,48,B,5,5,5,5,5,6,Non-metro,5,5,5,5,5,6,7,7,7,6,7,7,7,6,9174,8756,1340,8086,7416,2684,704,8,702,8.7,697,9.4,496,18.5
03/01/2023,48225,9,Houston County,TX,98.9,11046,48.1,11024,50.5,10882,54.3,10544,57.2,3612,69.8,9701,42.2,9697,44.4,379,11.1,9604,47.9,9318,50.6,3288,63.5,4391,45.3,4391,45.3,4383,45.6,4364,46.8,3187,53.7,1932,58.8,1327,41.6,836,43.3,D,13,13,13,13,14,14,Non-metro,5,5,5,5,6,6,15,15,15,14,7,7,7,6,22968,21832,3404,20032,18428,5176,1017,4.7,1015,5.1,1002,5.4,660,12.8
